Date,Open,High,Low,Close,Adj Close,Volume
2014-01-01,24.379999,25.030001,22.940001,23.370001,20.599146,3187000
2014-02-01,23.250000,24.500000,22.790001,24.260000,21.383625,3450800
2014-03-01,24.190001,26.570000,23.860001,26.430000,23.296341,12099500
2014-04-01,26.730000,27.100000,26.070000,26.379999,23.252268,7741900
2014-05-01,26.440001,29.760000,26.090000,28.469999,25.094467,13278600
2014-06-01,29.090000,30.610001,28.940001,29.740000,26.213890,9580000
2014-07-01,29.920000,30.780001,29.280001,29.760000,26.299164,7729700
2014-08-01,29.629999,31.299999,29.230000,31.040001,27.430309,6557700
2014-09-01,31.510000,32.049999,30.100000,30.280001,26.758690,11883100
2014-10-01,30.540001,31.930000,29.070000,31.889999,28.181461,14501800
2014-11-01,31.860001,32.380001,31.510000,31.990000,28.269829,14902200
2014-12-01,32.180000,32.189999,28.540001,29.950001,26.467066,16762000
2015-01-01,30.500000,33.410000,28.840000,32.099998,28.479521,32686000
2015-02-01,32.689999,33.549999,31.629999,33.470001,29.695005,20331900
2015-03-01,33.250000,33.639999,31.080000,31.990000,28.381927,48951200
2015-04-01,32.230000,33.400002,29.320000,29.389999,26.075176,36105500
2015-05-01,29.379999,31.070000,29.200001,30.549999,27.104343,44223100
2015-06-01,30.629999,30.780001,28.500000,30.260000,26.847052,58142000
2015-07-01,30.549999,31.530001,29.969999,31.070000,27.681484,39466700
2015-08-01,30.920000,31.480000,25.290001,28.090000,25.026491,53177900
2015-09-01,27.490000,28.850000,26.600000,28.570000,25.454142,41291400
2015-10-01,28.400000,29.940001,28.120001,28.480000,25.373953,31044100
2015-11-01,28.549999,28.860001,26.760000,27.459999,24.465199,38679500
2015-12-01,27.440001,27.700001,25.809999,27.500000,24.500832,50752700
2016-01-01,26.870001,27.240000,24.490000,25.980000,23.317871,46274300
2016-02-01,25.730000,25.959999,23.520000,24.020000,21.558712,36357700
2016-03-01,24.870001,27.200001,24.850000,27.120001,24.341057,49002200
2016-04-01,26.660000,28.020000,25.900000,27.059999,24.287207,38160400
2016-05-01,27.070000,27.879999,26.110001,27.629999,24.798801,33585100
2016-06-01,27.600000,28.459999,26.500000,27.920000,25.059084,48430000
2016-07-01,28.160000,29.590000,27.719999,29.549999,26.684454,33658300
2016-08-01,29.549999,29.809999,28.740000,29.559999,26.693487,40836300
2016-09-01,29.559999,30.639999,28.820000,29.410000,26.558035,56322300
2016-10-01,29.690001,30.110001,28.889999,29.040001,26.223913,38339300
2016-11-01,29.080000,29.120001,25.790001,26.930000,24.318520,81093400
2016-12-01,26.930000,27.570000,25.959999,26.809999,24.210161,54863900
2017-01-01,26.790001,28.420000,26.719999,28.360001,25.681160,60366500
2017-02-01,28.799999,29.879999,28.559999,29.670000,26.867418,54767600
2017-03-01,29.910000,31.639999,29.559999,31.490000,28.515511,76212100
2017-04-01,31.700001,32.380001,31.110001,32.080002,29.049780,59290500
2017-05-01,32.090000,32.939999,31.540001,32.549999,29.475376,60277600
2017-06-01,32.639999,33.080002,31.670000,32.099998,29.067886,54157500
2017-07-01,32.099998,34.509998,32.099998,34.360001,31.233509,50624000
2017-08-01,34.610001,34.900002,32.930000,34.110001,31.006264,56941700
2017-09-01,34.369999,34.660000,32.160000,32.849998,29.860912,57670900
2017-10-01,32.669998,35.250000,32.650002,35.240002,32.033443,67454500
2017-11-01,35.570000,35.799999,33.770000,34.779999,31.615294,61306800
2017-12-01,34.450001,36.230000,34.029999,36.070000,32.787918,57178000
2018-01-01,36.060001,38.209999,35.990002,37.250000,34.116951,79578800
2018-02-01,37.000000,37.029999,34.290001,34.320000,31.433388,96397200
2018-03-01,34.580002,35.060001,32.970001,34.130001,31.259369,80241300
2018-04-01,34.119999,35.119999,33.660000,34.950001,32.010399,68639500
2018-05-01,34.900002,34.900002,32.380001,33.650002,30.819744,81747200
2018-06-01,33.689999,34.220001,32.299999,33.290001,30.490023,91268300
2018-07-01,32.869999,35.650002,32.820000,35.630001,32.678055,79721500
2018-08-01,35.630001,36.250000,34.209999,35.680000,32.723911,87391400
2018-09-01,34.720001,34.880001,32.360001,32.470001,29.779861,111348000
2018-10-01,32.689999,32.750000,28.959999,30.190001,27.688757,146786800
2018-11-01,30.500000,33.730000,30.459999,33.349998,30.586948,122705800
2018-12-01,33.230000,33.650002,30.120001,33.340000,30.577778,118210500
2019-01-01,32.759998,33.299999,31.780001,32.799999,30.333475,95685800
2019-02-01,32.650002,33.270000,31.400000,32.689999,30.231750,77286600
2019-03-01,32.799999,35.840000,32.320000,35.250000,32.599236,102740500
2019-04-01,35.549999,35.959999,34.869999,35.509998,32.839684,68729400
2019-05-01,35.560001,36.000000,32.630001,35.980000,33.274345,120704500
2019-06-01,36.349998,36.459999,34.439999,35.299999,32.645473,92968700
2019-07-01,35.599998,35.849998,32.709999,33.000000,30.796257,63520300
2019-08-01,32.830002,33.040001,30.930000,32.180000,30.031010,103345000
2019-09-01,31.160000,33.990002,31.100000,33.570000,31.328190,100819200
2019-10-01,32.980000,34.849998,32.070000,34.650002,32.336067,94270900
2019-11-01,34.910000,35.150002,33.820000,34.459999,32.158749,62886800
2019-12-01,34.610001,35.540001,34.310001,35.150002,32.802677,74743400
2020-01-01,35.480000,36.180000,34.320000,34.490002,32.216961,81690600
2020-02-01,34.000000,35.700001,31.520000,32.189999,30.068537,104361200
2020-03-01,31.620001,32.639999,20.480000,24.110001,22.521044,255734200
2020-04-01,22.830000,27.760000,21.920000,27.049999,25.267284,130921100
2020-05-01,26.420000,28.049999,25.469999,27.490000,25.678286,109822300
2020-06-01,28.000000,29.900000,26.760000,29.020000,27.107452,134006900
2020-07-01,29.209999,32.720001,29.209999,31.940001,29.915522,82803300
2020-08-01,31.750000,34.570000,31.680000,33.369999,31.254881,66212800
2020-09-01,33.919998,34.840000,32.060001,33.860001,31.713821,90686900
2020-10-01,34.250000,35.639999,33.389999,33.590000,31.460936,92582000
